month,state,permit,permit_recheck,handgun,long_gun,other_gun,multiple,other_sale_types,checks_combined
19-May,Colorado,6697,0,16653,10619,1445,1023,377,36814
19-May,Connecticut,7367,439,4655,1622,654,0,0,14737
19-May,Delaware,642,0,1568,1028,159,90,207,3694
19-May,District of Columbia,244,0,142,4,0,4,23,417
19-May,Florida,16117,0,45087,14214,3760,2422,6604,88204
19-May,Georgia,17365,0,10988,5172,558,674,2687,37444
19-May,Guam,0,0,102,46,11,3,1,163
19-May,Hawaii,1100,2,0,0,0,0,3,1105
19-May,Idaho,8651,1,3738,3728,359,243,845,17565
19-May,Illinois,13168,342314,17976,7587,0,726,0,381771
19-May,Indiana,110,266081,15062,8146,1431,619,1138,292587
19-May,Iowa,4762,6379,115,1471,27,1,95,12850
19-May,Kansas,1915,1,4466,3391,462,407,896,11538
19-May,Kentucky,315756,0,7899,4585,343,511,2982,332076
19-May,Louisiana,2565,103,8327,5074,724,768,1713,19274
19-May,Maine,576,8,2886,2285,331,192,274,6552
19-May,Mariana Islands,0,0,7,7,2,1,0,17
19-May,Maryland,3475,0,3385,3645,89,25,285,10904
19-May,Massachusetts,11447,0,3759,2113,437,182,69,18007
19-May,Michigan,19176,9,9057,5984,602,196,328,35352
19-May,Minnesota,11487,26988,8570,7754,809,378,578,56564
19-May,Mississippi,1613,0,6614,3553,353,495,2562,15190
19-May,Missouri,2492,0,15869,10448,1452,1048,2805,34114
19-May,Montana,1091,0,2747,3255,222,203,1085,8603
19-May,Nebraska,3146,85,67,1089,22,4,82,4495
19-May,Nevada,2535,0,4128,2161,281,254,410,9769
19-May,New Hampshire,1291,0,4079,2328,205,1,289,8193
19-May,New Jersey,0,0,4791,2545,219,0,138,7693
19-May,New Mexico,1286,0,5564,3361,530,292,823,11856
19-May,New York,3240,2861,8260,10090,1296,206,778,26731
19-May,North Carolina,24202,141,1312,7798,989,180,4015,38637
19-May,North Dakota,468,0,1436,2033,106,75,194,4312
19-May,Ohio,12245,154,17577,9758,1569,864,1683,43850
19-May,Oklahoma,3048,0,9704,6112,1055,1008,3700,24627
19-May,Oregon,5465,512,12305,8465,0,10,213,26970
19-May,Pennsylvania,22289,0,38050,10807,13,0,1085,72244
19-May,Puerto Rico,0,0,2266,188,153,23,23,2653
19-May,Rhode Island,0,0,941,515,96,169,92,1813
19-May,South Carolina,9850,167,8332,3531,843,631,1623,24977
19-May,South Dakota,650,0,2148,2383,187,118,306,5792
19-May,Tennessee,12526,0,20921,9885,1522,0,59,44913
19-May,Texas,28928,0,38714,23587,3118,3993,9423,107763
19-May,Utah,19931,50188,3045,2849,289,0,756,77058
19-May,Vermont,0,0,1333,1138,111,61,16,2659
19-May,Virgin Islands,60,0,27,4,0,0,0,91
19-May,Virginia,1205,53,17935,8821,2454,0,47,30515
19-May,Washington,13988,147,18141,11217,4250,1202,4180,53125
19-May,West Virginia,2223,0,4787,3700,278,313,1872,13173
19-May,Wisconsin,7840,536,11997,8512,948,56,418,30307
19-May,Wyoming,639,2,1740,1828,150,108,326,4793
19-Apr,Alabama,26958,666,6747,4538,265,240,1732,41146
19-Apr,Alaska,243,10,2704,2605,323,215,405,6505
19-Apr,Arizona,6120,509,12985,6750,1280,731,1847,30222
19-Apr,Arkansas,3373,843,4951,4060,319,303,1963,15812
19-Apr,California,46004,0,37484,25895,4204,0,879,114466
19-Apr,Colorado,7612,0,17199,11594,1470,1141,417,39433
19-Apr,Connecticut,8167,485,4775,1792,500,0,7,15726
19-Apr,Delaware,519,0,1687,1146,132,116,207,3807
19-Apr,District of Columbia,282,0,122,1,0,2,2,409
19-Apr,Florida,18613,0,48329,15125,3652,2130,5844,93693
19-Apr,Georgia,19573,0,12049,5798,608,438,2486,40952
19-Apr,Guam,0,0,88,46,11,5,0,150
19-Apr,Hawaii,1207,0,0,0,0,0,5,1212
19-Apr,Idaho,6608,2,3865,4118,379,238,794,16004
19-Apr,Illinois,14158,360461,21307,8748,0,790,0,405464
19-Apr,Indiana,41080,33562,18528,9718,1493,686,1029,106096
19-Apr,Iowa,5933,7113,200,1761,41,4,92,15144
19-Apr,Kansas,1739,4,4737,3858,433,296,866,11933
19-Apr,Kentucky,361715,0,10133,5989,390,452,2732,381411
19-Apr,Louisiana,2285,89,9196,5330,709,432,1609,19650
19-Apr,Maine,652,9,3134,2819,327,169,265,7375
19-Apr,Mariana Islands,0,0,6,6,0,3,0,15
19-Apr,Maryland,3839,0,3759,4478,120,35,306,12537
19-Apr,Massachusetts,10866,4,3846,2280,455,175,112,17738
19-Apr,Michigan,21511,16,10368,7277,798,229,371,40570
19-Apr,Minnesota,15173,32947,10655,11570,1007,809,559,72720
19-Apr,Mississippi,1831,0,7199,3936,341,305,2282,15894
19-Apr,Missouri,2835,0,15972,12020,1478,943,2577,35825
19-Apr,Montana,1417,0,2815,3704,242,266,975,9419
19-Apr,Nebraska,3650,98,84,1318,20,5,92,5267
19-Apr,Nevada,2524,0,4502,2535,315,258,390,10524
19-Apr,New Hampshire,1312,0,4747,2873,207,3,247,9389
19-Apr,New Jersey,0,0,4819,2982,213,0,159,8173
19-Apr,New Mexico,943,0,5808,3936,609,323,864,12483
19-Apr,New York,3926,2835,8971,12724,1521,230,947,31154
19-Apr,North Carolina,27292,236,1487,8892,980,184,3580,42651
19-Apr,North Dakota,438,0,1743,2524,131,99,200,5135
19-Apr,Ohio,14338,202,22541,11994,2104,963,1677,53819
19-Apr,Oklahoma,3558,0,10608,7199,1334,888,2941,26528
19-Apr,Oregon,6320,524,13360,9875,0,11,209,30299
19-Apr,Pennsylvania,24075,0,42418,12300,32,0,1028,79853
19-Apr,Puerto Rico,0,0,2135,162,91,17,22,2427
19-Apr,Rhode Island,0,0,995,742,115,205,118,2175
19-Apr,South Carolina,8347,286,9362,4050,702,369,1491,24607
19-Apr,South Dakota,706,0,2360,2870,193,172,280,6581
19-Apr,Tennessee,14849,0,21848,10619,1224,0,84,48624
19-Apr,Texas,28638,0,38994,24009,3451,2167,8853,106112
19-Apr,Utah,16689,52805,3365,3235,361,0,808,77263
19-Apr,Vermont,0,0,1518,1485,122,91,20,3236
19-Apr,Virgin Islands,82,0,24,5,1,2,0,114
19-Apr,Virginia,1262,69,20270,10699,2692,0,60,35052
19-Apr,Washington,16452,88,17631,10844,3139,873,4350,53377
19-Apr,West Virginia,2635,0,5819,4822,318,310,1679,15583
19-Apr,Wisconsin,9159,650,14617,12535,1127,52,421,38561
19-Apr,Wyoming,459,14,1888,1906,153,136,265,4821
19-Mar,Alabama,31811,619,9991,6439,348,360,2355,51923
19-Mar,Alaska,173,4,3117,2844,355,233,410,7136
19-Mar,Arizona,7564,484,15993,8497,1422,947,2433,37340
19-Mar,Arkansas,3605,1179,7948,5821,467,415,2811,22246
19-Mar,California,46812,0,42551,28146,4299,0,1248,123056
19-Mar,Colorado,7183,0,22511,13791,1720,1371,339,46915
19-Mar,Connecticut,8604,434,6189,2344,789,0,2,18362
19-Mar,Delaware,647,0,2407,1377,170,108,276,4985
19-Mar,District of Columbia,300,0,112,5,0,0,0,417
19-Mar,Florida,21078,0,59615,19429,3869,2526,7484,114001
19-Mar,Georgia,23338,0,19228,9131,784,713,3610,56804
19-Mar,Guam,0,0,123,53,13,6,0,195
19-Mar,Hawaii,1126,0,0,0,0,0,3,1129
19-Mar,Idaho,5908,1,5362,5161,502,334,1046,18314
19-Mar,Illinois,18595,313540,29438,13143,0,1302,0,376018
19-Mar,Indiana,44867,8962,26630,13737,2005,985,1411,98597
19-Mar,Iowa,6953,9778,204,3014,55,5,99,20108
19-Mar,Kansas,1688,3,7807,5590,693,415,1157,17353
19-Mar,Kentucky,350354,0,15646,8110,534,781,3843,379268
19-Mar,Louisiana,2106,83,13050,7148,892,583,2108,25970
19-Mar,Maine,703,1,4191,2992,380,210,289,8766
19-Mar,Mariana Islands,0,0,8,8,2,0,0,18
19-Mar,Maryland,4123,0,4288,6080,138,42,412,15083
19-Mar,Massachusetts,11470,0,5079,3151,644,219,107,20670
19-Mar,Michigan,24361,11,15403,10260,903,286,474,51698
19-Mar,Minnesota,14888,33917,12098,11981,1307,538,657,75386
19-Mar,Mississippi,1963,0,11180,6116,430,460,2941,23090
19-Mar,Missouri,3000,0,23939,17749,2160,1449,3190,51487
19-Mar,Montana,1290,0,3703,4218,351,310,1271,11143
19-Mar,Nebraska,4576,124,146,1913,27,5,87,6878
19-Mar,Nevada,2657,0,6661,3114,446,393,585,13856
19-Mar,New Hampshire,1508,0,6297,3374,254,0,251,11684
19-Mar,New Jersey,0,0,4579,3446,226,0,159,8410
19-Mar,New Mexico,881,0,8137,5252,784,558,1238,16850
19-Mar,New York,3949,2328,10834,14996,1751,260,886,35004
19-Mar,North Carolina,32987,84,1931,12758,1249,290,4597,53896
19-Mar,North Dakota,514,0,2191,2783,158,106,238,5990
19-Mar,Ohio,16273,374,31090,17313,2208,1358,2210,70826
19-Mar,Oklahoma,3941,0,15423,9896,1416,1167,3861,35704
19-Mar,Oregon,5960,425,17208,12161,0,7,188,35949
19-Mar,Pennsylvania,27864,0,60068,16921,29,0,1010,105892
19-Mar,Puerto Rico,0,0,2238,157,98,31,30,2554
19-Mar,Rhode Island,0,0,1201,858,159,268,154,2640
19-Mar,South Carolina,9467,116,13957,6268,843,821,1840,33312
19-Mar,South Dakota,682,0,3274,3450,228,215,325,8174
19-Mar,Tennessee,19094,0,30728,15086,1463,0,62,66433
19-Mar,Texas,34837,0,55222,31747,4092,2938,12220,141056
19-Mar,Utah,18552,53588,4876,4081,393,0,908,82398
19-Mar,Vermont,0,0,2043,1693,220,82,16,4054
19-Mar,Virgin Islands,109,0,28,3,0,0,0,140
19-Mar,Virginia,1221,100,29043,14550,3547,0,66,48527
19-Mar,Washington,18082,94,21158,13211,3329,998,4940,61812
19-Mar,West Virginia,2939,0,8633,6778,469,538,2502,21859
19-Mar,Wisconsin,9950,664,19952,15240,1283,54,528,47671
19-Mar,Wyoming,338,9,2497,2314,199,138,385,5880
19-Feb,Alabama,28831,332,8278,5353,302,451,2656,46203
19-Feb,Alaska,189,7,2261,1904,276,176,420,5233
19-Feb,Arizona,6444,452,13933,7135,1244,978,2590,32776
19-Feb,Arkansas,2930,789,7144,5251,357,576,3242,20289
19-Feb,California,33102,0,36424,22506,3932,0,1006,96970
19-Feb,Colorado,6987,0,18697,11731,1550,1168,334,40467
19-Feb,Connecticut,6697,412,5459,1818,654,0,0,15040
19-Feb,Delaware,418,0,1698,1208,124,76,158,3682
19-Feb,District of Columbia,267,0,88,4,0,0,5,364
19-Feb,Florida,18437,0,51711,17833,3649,2315,8046,101991
19-Feb,Georgia,19711,0,16172,7742,680,734,3861,48900
19-Feb,Guam,0,0,113,51,10,4,0,178
19-Feb,Hawaii,1028,0,0,0,0,0,4,1032
19-Feb,Idaho,7835,0,3887,3548,394,292,1009,16965
19-Feb,Illinois,14499,139042,24870,11381,0,1094,0,190886
19-Feb,Indiana,29574,5893,21297,11157,1623,854,1494,71892
19-Feb,Iowa,5491,7437,153,1935,60,6,99,15181
19-Feb,Kansas,1909,5,6271,4688,593,467,1291,15224
19-Feb,Kentucky,303739,0,12027,7182,443,932,4249,328572
19-Feb,Louisiana,2491,119,11056,6849,727,637,2466,24345
19-Feb,Maine,673,2,2989,2352,308,163,307,6794
19-Feb,Mariana Islands,0,0,10,7,1,1,0,19
19-Feb,Maryland,3183,0,3822,4613,124,62,386,12190
19-Feb,Massachusetts,11007,0,4359,2428,555,177,78,18604
19-Feb,Michigan,18930,5,11272,7497,702,241,426,39073
19-Feb,Minnesota,9567,24440,7938,7215,889,349,586,50984
19-Feb,Mississippi,1845,0,9790,5717,393,488,3448,21681
19-Feb,Missouri,2326,0,19884,13773,1688,1308,3523,42502
19-Feb,Montana,1167,64,2391,2730,254,337,1281,8224
19-Feb,Nebraska,4029,81,122,1428,26,2,71,5759
19-Feb,Nevada,2366,0,5541,2524,353,293,566,11643
19-Feb,New Hampshire,1301,0,5793,2713,230,0,176,10213
19-Feb,New Jersey,0,0,3794,2949,174,0,113,7030
19-Feb,New Mexico,814,0,6890,4371,673,620,1359,14727
19-Feb,New York,2767,2104,8914,11566,1726,199,767,28043
19-Feb,North Carolina,29866,2,1620,11335,1083,310,4938,49154
19-Feb,North Dakota,461,0,1514,1981,131,80,253,4420
19-Feb,Ohio,12403,337,25652,13985,1635,1123,2383,57518
19-Feb,Oklahoma,4255,0,13014,8165,1318,1126,4288,32166
19-Feb,Oregon,4543,370,14214,9428,0,10,161,28726
19-Feb,Pennsylvania,22785,0,47570,13297,17,0,898,84567
19-Feb,Puerto Rico,0,0,2129,154,83,28,12,2406
19-Feb,Rhode Island,0,0,1043,624,134,198,106,2105
19-Feb,South Carolina,7749,85,12375,5724,760,833,2285,29811
19-Feb,South Dakota,663,0,2701,2790,243,187,408,6992
19-Feb,Tennessee,19935,0,27213,14058,1500,0,79,62785
19-Feb,Texas,37469,0,49130,28709,3663,3149,13811,135931
19-Feb,Utah,14151,5720,3463,3018,317,0,979,27648
19-Feb,Vermont,0,0,1545,1373,163,71,20,3172
19-Feb,Virgin Islands,72,0,46,1,1,0,0,120
19-Feb,Virginia,1094,57,24579,12572,3168,0,62,41532
19-Feb,Washington,13583,31,15775,10106,2927,910,4342,47674
19-Feb,West Virginia,2455,0,7011,5575,384,677,2708,18810
19-Feb,Wisconsin,8810,496,13838,9899,1017,62,490,34612
19-Feb,Wyoming,439,11,1900,1791,168,118,415,4842
19-Jan,Alabama,29977,266,6671,5507,343,260,1965,44989
19-Jan,Alaska,249,10,1877,1685,290,139,332,4582
19-Jan,Arizona,6004,533,11710,6865,1255,675,1997,29039
19-Jan,Arkansas,2917,921,5108,5175,401,335,2401,17258
19-Jan,California,34585,0,35861,23195,4035,0,826,98502
19-Jan,Colorado,7292,0,16417,11575,1796,996,415,38491
19-Jan,Connecticut,7748,475,5368,1945,788,0,0,16324
19-Jan,Delaware,558,0,1684,1473,141,70,193,4119
19-Jan,District of Columbia,253,0,101,5,0,1,0,360
19-Jan,Florida,18964,0,47372,18749,3651,2132,6618,97486
19-Jan,Georgia,21575,0,11780,7535,670,462,2817,44839
19-Jan,Guam,0,0,122,42,11,6,0,181
19-Jan,Hawaii,1064,1,0,0,0,0,3,1068
19-Jan,Idaho,5153,12,3522,3602,414,176,755,13634
19-Jan,Illinois,16976,281803,21587,10082,0,877,0,331325
19-Jan,Indiana,107476,21459,17265,10423,1738,681,1098,160140
19-Jan,Iowa,6401,7499,128,1887,68,0,84,16067
19-Jan,Kansas,1982,9,5269,4584,688,294,941,13767
19-Jan,Kentucky,290432,0,8170,6213,510,450,2798,308573
19-Jan,Louisiana,2357,139,8961,7473,844,460,1711,21945
19-Jan,Maine,862,9,2652,2333,407,165,254,6682
19-Jan,Mariana Islands,0,0,9,11,4,1,0,25
19-Jan,Maryland,2758,0,4254,4473,100,27,364,11976
19-Jan,Massachusetts,12279,0,4016,2644,574,198,101,19812
19-Jan,Michigan,19011,17,8674,6844,800,175,363,35884
19-Jan,Minnesota,11526,24574,8031,7106,1078,345,485,53145
19-Jan,Mississippi,1777,0,6833,5707,371,305,2423,17416
19-Jan,Missouri,2194,0,16244,12657,1805,868,2889,36657
19-Jan,Montana,1206,90,2097,2753,278,201,1070,7695
19-Jan,Nebraska,4449,255,125,1711,32,3,60,6635
19-Jan,Nevada,2439,0,5001,2386,407,257,430,10920
19-Jan,New Hampshire,1408,0,4672,2529,118,1,428,9156
19-Jan,New Jersey,0,0,3508,3084,170,0,130,6892
19-Jan,New Mexico,979,0,4987,3778,657,289,881,11571
19-Jan,New York,3838,2172,9271,11257,1804,230,816,29388
19-Jan,North Carolina,29088,0,1409,10951,1148,201,3433,46230
19-Jan,North Dakota,582,0,1425,2015,147,102,188,4459
19-Jan,Ohio,13134,738,19573,12290,1648,828,1645,49856
19-Jan,Oklahoma,4889,0,10411,8202,1419,813,3059,28793
19-Jan,Oregon,5296,369,13630,9117,0,11,245,28668
19-Jan,Pennsylvania,24429,0,40144,11833,7,0,1007,77420
19-Jan,Puerto Rico,0,0,2030,156,111,42,29,2368
19-Jan,Rhode Island,0,0,1054,662,96,167,114,2093
19-Jan,South Carolina,5528,82,9696,5459,824,340,1617,23546
19-Jan,South Dakota,1204,0,2154,2808,222,127,288,6803
19-Jan,Tennessee,20155,0,22848,13776,1315,0,73,58167
19-Jan,Texas,37167,0,39240,27842,3727,2179,9747,119902
19-Jan,Utah,18110,23,3017,2834,344,0,754,25082
19-Jan,Vermont,0,0,1124,1092,133,50,18,2417
19-Jan,Virgin Islands,84,0,41,2,0,0,0,127
19-Jan,Virginia,1061,118,20600,12813,3209,0,56,37857
19-Jan,Washington,18889,53,17487,10889,3622,863,4248,56051
19-Jan,West Virginia,2438,0,5355,4964,379,382,1802,15320
19-Jan,Wisconsin,11124,300,12204,9154,1310,43,410,34545
19-Jan,Wyoming,357,11,1530,1621,175,99,282,4075
18-Dec,Alabama,26029,242,11463,13578,464,417,2190,54383
18-Dec,Alaska,215,11,2956,3278,312,155,324,7251
18-Dec,Arizona,4732,394,15533,11436,1451,874,1855,36275
18-Dec,Arkansas,2498,806,8138,11736,369,398,2327,26272
18-Dec,California,30754,0,40445,34180,3808,0,830,110017
18-Dec,Colorado,5636,0,22627,18734,1874,1343,330,50544
18-Dec,Connecticut,6433,329,5904,2506,947,0,0,16119
18-Dec,Delaware,179,0,1932,2503,169,83,158,5024
18-Dec,District of Columbia,147,0,71,4,0,1,0,223
18-Dec,Florida,16478,0,60210,30598,4131,2584,6418,120419
18-Dec,Georgia,16029,0,19241,18475,842,809,3004,58400
18-Dec,Guam,0,0,126,62,13,4,0,205
18-Dec,Hawaii,1105,0,0,0,0,0,1,1106
18-Dec,Idaho,5793,33,5667,6949,442,278,775,19937
18-Dec,Illinois,12795,246015,26943,15297,0,981,0,302031
18-Dec,Indiana,24021,4786,24824,18824,2088,995,1115,76653
18-Dec,Iowa,6782,5613,262,4392,70,7,62,17188
18-Dec,Kansas,1450,5,7418,8702,695,440,997,19707
18-Dec,Kentucky,371756,0,14189,14309,581,618,2690,404143
18-Dec,Louisiana,2123,180,13856,17376,910,771,1814,37030
18-Dec,Maine,491,2,3783,4282,377,226,188,9349
18-Dec,Mariana Islands,0,0,3,7,0,0,0,10
18-Dec,Maryland,1974,0,4500,7309,102,48,318,14251
18-Dec,Massachusetts,9421,0,4492,3178,558,156,163,17968
18-Dec,Michigan,16890,8,12897,13972,901,257,346,45271
18-Dec,Minnesota,10587,23746,9144,11057,1032,430,510,56506
18-Dec,Mississippi,1566,0,11557,14731,469,543,2831,31697
18-Dec,Missouri,1949,0,24730,23584,2058,1305,2721,56347
18-Dec,Montana,993,1,3744,5291,286,236,972,11523
18-Dec,Nebraska,4158,112,160,3331,33,10,66,7870
18-Dec,Nevada,1965,0,5889,3993,429,308,433,13017
18-Dec,New Hampshire,1090,0,5845,3977,175,1,159,11247
18-Dec,New Jersey,0,0,3432,4099,128,0,125,7784
18-Dec,New Mexico,615,0,6858,6580,695,335,873,15956
18-Dec,New York,2584,1994,9675,19234,1733,249,853,36322
18-Dec,North Carolina,21349,0,2367,22327,1265,239,3481,51028
18-Dec,North Dakota,365,0,1853,3144,132,100,211,5805
18-Dec,Ohio,11684,334,30746,25012,1863,1227,1721,72587
18-Dec,Oklahoma,3183,0,15708,16053,1492,1128,3035,40599
18-Dec,Oregon,4319,338,16985,14374,0,5,195,36216
18-Dec,Pennsylvania,22247,0,54857,20732,18,0,883,98737
18-Dec,Puerto Rico,0,0,2026,215,113,24,17,2395
18-Dec,Rhode Island,0,0,1069,770,99,162,96,2196
18-Dec,South Carolina,3258,73,13465,11856,1084,525,1562,31823
18-Dec,South Dakota,975,0,2913,4497,215,188,264,9052
18-Dec,Tennessee,12652,0,34499,26987,1847,0,57,76042
18-Dec,Texas,28161,0,62560,56919,4482,3138,9984,165244
18-Dec,Utah,10806,127,5369,7214,477,0,733,24726
18-Dec,Vermont,0,0,1620,1871,142,79,17,3729
18-Dec,Virgin Islands,87,0,27,4,1,3,0,122
18-Dec,Virginia,1107,56,26129,22048,3524,0,78,52942
18-Dec,Washington,15301,60,23131,20690,5796,1342,4654,70974
18-Dec,West Virginia,1594,0,9693,10824,464,503,1708,24786
18-Dec,Wisconsin,11222,0,16181,14362,1363,54,390,43572
18-Dec,Wyoming,378,8,2653,3033,166,144,284,6666
18-Nov,Alabama,22477,17,8408,10303,357,1153,2630,45345
18-Nov,Alaska,184,11,2707,2827,360,197,359,6645
18-Nov,Arizona,4537,380,12412,8886,1139,879,2152,30385
18-Nov,Arkansas,2739,1163,5739,10196,300,914,3424,24475
18-Nov,California,33942,0,36997,30913,3606,0,922,106380
18-Nov,Colorado,6330,0,18926,15702,1547,1238,351,44094
18-Nov,Connecticut,6103,376,5078,2331,863,0,0,14751
18-Nov,Delaware,176,0,1578,2082,124,73,145,4178
18-Nov,District of Columbia,207,0,80,3,0,0,0,290
18-Nov,Florida,16036,0,51850,23876,3502,3545,7166,105975
18-Nov,Georgia,16456,0,13770,13749,654,1466,3689,49784
18-Nov,Guam,0,0,120,49,15,6,1,191
18-Nov,Hawaii,1186,0,0,0,0,0,2,1188
18-Nov,Idaho,4223,3,4077,5851,422,254,963,15793
18-Nov,Illinois,14214,244550,22978,14038,0,1130,0,296910
18-Nov,Indiana,23053,2968,20522,18723,1533,996,1376,69171
18-Nov,Iowa,6284,5944,303,4319,36,7,108,17001
18-Nov,Kansas,1872,2,5885,7334,459,765,1160,17477
18-Nov,Kentucky,393953,0,10506,12670,437,888,3889,422343
18-Nov,Louisiana,2264,202,10242,14336,788,2278,2273,32383
18-Nov,Maine,556,4,2661,3768,313,210,257,7769
18-Nov,Mariana Islands,0,0,5,7,0,0,0,12
18-Nov,Maryland,1988,1,3979,7150,137,40,389,13684
18-Nov,Massachusetts,11027,0,4334,3194,532,178,127,19392
18-Nov,Michigan,17114,9,11474,17534,596,210,523,47460
18-Nov,Minnesota,9891,19827,6691,10900,704,291,580,48884
18-Nov,Mississippi,1569,0,7650,11816,379,1352,3464,26230
18-Nov,Missouri,1935,0,19158,21908,1551,2158,3386,50096
18-Nov,Montana,990,0,2727,4603,274,251,1268,10113
18-Nov,Nebraska,3951,68,198,2964,32,7,86,7306
18-Nov,Nevada,1765,0,4806,3132,349,270,465,10787
18-Nov,New Hampshire,1123,0,5051,3514,95,0,266,10049
18-Nov,New Jersey,0,0,3297,3769,150,0,123,7339
18-Nov,New Mexico,958,0,5731,5331,604,536,1178,14338
18-Nov,New York,2707,2190,8290,18315,1436,228,803,33969
18-Nov,North Carolina,21929,0,2159,18381,927,288,4308,47992
18-Nov,North Dakota,463,0,1655,3274,147,115,207,5861
18-Nov,Ohio,12779,392,25372,26274,1615,1241,2221,69894
18-Nov,Oklahoma,3635,0,12669,14074,1240,1915,4183,37716
18-Nov,Oregon,4518,415,14426,12344,0,5,170,31878
18-Nov,Pennsylvania,22376,0,49328,20463,24,0,977,93168
18-Nov,Puerto Rico,0,0,2611,227,130,30,16,3014
18-Nov,Rhode Island,0,0,1020,727,121,166,100,2134
18-Nov,South Carolina,3681,119,10229,9329,891,946,1887,27082
18-Nov,South Dakota,1139,0,2637,4907,216,166,391,9456
18-Nov,Tennessee,19447,0,27015,22267,2998,0,59,71786
18-Nov,Texas,29090,0,44763,43276,3437,9604,11643,141813
18-Nov,Utah,10423,73,3989,5599,325,0,857,21266
18-Nov,Vermont,0,0,1094,1690,120,54,6,2964
18-Nov,Virgin Islands,66,0,42,6,0,3,0,117
18-Nov,Virginia,1263,79,22204,19747,3138,0,47,46478
18-Nov,Washington,14217,52,20113,19136,5557,1389,4852,65316
18-Nov,West Virginia,1806,0,6450,10648,330,424,3037,22695
18-Nov,Wisconsin,11651,0,14769,17342,939,41,704,45446
18-Nov,Wyoming,369,5,1933,2532,144,121,338,5442
18-Oct,Alabama,23244,1,5218,5918,229,279,2234,37123
18-Oct,Alaska,141,11,3034,3245,327,286,724,7768
18-Oct,Arizona,5078,429,9886,6427,980,594,2166,25560
18-Oct,Arkansas,4415,597,4312,6792,220,347,3079,19762
18-Oct,California,42223,0,32567,23213,2738,0,882,101623
18-Oct,Colorado,7004,0,15101,13079,1111,935,356,37586
18-Oct,Connecticut,6875,413,4575,1979,635,0,0,14477
18-Oct,Delaware,138,0,1420,1512,92,98,158,3418
18-Oct,District of Columbia,116,0,81,5,0,0,1,203
18-Oct,Florida,13921,0,40226,16671,2912,2018,6880,82628
18-Oct,Georgia,17241,0,10007,8856,444,526,3505,40579
18-Oct,Guam,0,0,120,41,8,10,1,180
18-Oct,Hawaii,1201,0,0,0,0,0,3,1204
18-Oct,Idaho,7265,3,3034,5025,255,194,1079,16855
18-Oct,Illinois,13700,194077,17916,10755,0,776,0,237224
18-Oct,Indiana,28925,0,15032,12352,1151,719,1207,59386
18-Oct,Iowa,6315,6201,173,2700,23,1,105,15518
18-Oct,Kansas,2136,15,4223,4884,428,300,1077,13063
18-Oct,Kentucky,394208,0,7065,8001,360,523,3411,413568
18-Oct,Louisiana,2014,190,8073,10567,591,537,2440,24412
18-Oct,Maine,532,0,2565,5428,251,182,341,9299
18-Oct,Mariana Islands,0,0,5,7,1,1,0,14
18-Oct,Maryland,2240,0,4020,5112,124,29,394,11919
18-Oct,Massachusetts,10864,0,3750,2632,446,151,126,17969
18-Oct,Michigan,19282,13,8259,11649,508,171,488,40370
18-Oct,Minnesota,11735,22314,5041,14232,517,350,804,54993
18-Oct,Mississippi,2028,0,6049,6638,324,350,2990,18379
18-Oct,Missouri,2328,0,15963,17163,1320,1126,3262,41162
18-Oct,Montana,1178,0,2293,5246,189,248,1618,10772
18-Oct,Nebraska,3780,188,119,2172,16,2,81,6358
18-Oct,Nevada,2236,0,3731,2051,272,200,481,8971
18-Oct,New Hampshire,1232,0,4238,3494,35,1,364,9364
18-Oct,New Jersey,0,0,3710,2806,158,0,44,6718
18-Oct,New Mexico,703,0,4655,3993,458,259,1227,11295
18-Oct,New York,3170,2449,8258,16163,1010,201,1022,32273
18-Oct,North Carolina,20798,0,1392,12065,724,220,4279,39478
18-Oct,North Dakota,556,0,1487,3700,113,85,247,6188
18-Oct,Ohio,12733,809,18401,15830,1139,996,1898,51806
18-Oct,Oklahoma,4383,0,8849,8803,919,996,3691,27641
18-Oct,Oregon,5442,44,11776,10088,0,6,235,27591
18-Oct,Pennsylvania,23850,0,41412,14583,27,0,1074,80946
18-Oct,Puerto Rico,0,0,2419,193,94,34,20,2760
18-Oct,Rhode Island,0,0,947,646,79,163,79,1914
18-Oct,South Carolina,5205,236,7002,6023,596,352,1865,21279
18-Oct,South Dakota,1258,0,1882,5208,154,145,376,9023
18-Oct,Tennessee,18915,0,20286,13725,1303,0,73,54302
18-Oct,Texas,30568,0,34646,31100,2972,2239,10831,112356
18-Oct,Utah,11644,124,2615,3619,269,0,944,19215
18-Oct,Vermont,0,0,1100,1948,107,53,26,3234
18-Oct,Virgin Islands,101,0,39,3,0,0,0,143
18-Oct,Virginia,1781,72,17662,13511,2438,0,33,35497
18-Oct,Washington,13545,61,14925,11932,2387,775,4880,48505
18-Oct,West Virginia,2113,0,5250,6998,292,380,2490,17523
18-Oct,Wisconsin,9121,0,11766,14833,801,47,574,37142
18-Oct,Wyoming,478,8,1442,2172,102,115,423,4740
18-Sep,Alabama,19471,0,4978,5832,241,271,1913,32706
18-Sep,Alaska,212,5,2105,2554,225,165,433,5699
18-Sep,Arizona,9651,398,10298,6638,1096,654,1932,30667
18-Sep,Arkansas,4265,472,3987,5257,247,320,2524,17072
18-Sep,California,34638,0,29772,23788,2977,0,800,91975
18-Sep,Colorado,6491,0,14546,12061,1022,933,294,35347
18-Sep,Connecticut,5777,544,4151,1782,499,0,1,12754
