month,state,permit,permit_recheck,handgun,long_gun,other_gun,multiple,other_sale_types,checks_combined
10-Jan,Connecticut,7855,,4147,3316,20,0,8,15346
10-Jan,Delaware,0,,785,792,12,49,0,1638
10-Jan,District of Columbia,0,,20,1,0,0,0,21
10-Jan,Florida,0,,27038,15924,0,1303,2139,46404
10-Jan,Georgia,9881,,8603,7074,123,403,3133,29217
10-Jan,Guam,0,,26,25,1,1,0,53
10-Jan,Hawaii,826,,0,0,0,0,0,826
10-Jan,Idaho,1761,,1731,2693,33,118,916,7252
10-Jan,Illinois,39777,,8799,9303,0,464,0,58343
10-Jan,Indiana,7459,,9948,8614,294,366,512,27193
10-Jan,Iowa,7530,,36,2748,16,4,95,10429
10-Jan,Kansas,0,,5077,5286,144,279,785,11571
10-Jan,Kentucky,183423,,7133,7283,107,531,3422,201899
10-Jan,Louisiana,0,,6607,7589,131,305,1930,16562
10-Jan,Maine,0,,1590,2036,34,77,212,3949
10-Jan,Mariana Islands,0,,0,0,0,0,0,0
10-Jan,Maryland,0,,3474,3364,20,9,188,7055
10-Jan,Massachusetts,3744,,3060,1890,113,74,1,8882
10-Jan,Michigan,15231,,1901,8441,129,53,327,26082
10-Jan,Minnesota,8686,,4478,6191,161,163,502,20181
10-Jan,Mississippi,280,,3800,5394,59,242,2491,12266
10-Jan,Missouri,989,,12126,10374,270,464,1946,26169
10-Jan,Montana,592,,1596,3017,40,177,1349,6771
10-Jan,Nebraska,2149,,12,1800,5,1,93,4060
10-Jan,Nevada,729,,3511,2806,0,246,413,7705
10-Jan,New Hampshire,1878,,2346,1998,11,6,14,6253
10-Jan,New Jersey,0,,1958,2011,0,69,0,4038
10-Jan,New Mexico,335,,2994,3356,73,146,1067,7971
10-Jan,New York,2355,,4521,10202,252,58,23,17411
10-Jan,North Carolina,13077,,230,9770,165,178,3840,27260
10-Jan,North Dakota,270,,684,1895,17,34,164,3064
10-Jan,Ohio,0,,16178,11272,435,669,1794,30348
10-Jan,Oklahoma,0,,7104,6793,203,502,2936,17538
10-Jan,Oregon,26,,5995,6714,0,422,0,13157
10-Jan,Pennsylvania,165,,0,47194,0,95,2,47456
10-Jan,Puerto Rico,0,,483,87,1,26,0,597
10-Jan,Rhode Island,0,,648,504,21,97,0,1270
10-Jan,South Carolina,4510,,6079,4278,93,200,1537,16697
10-Jan,South Dakota,0,,1194,2423,29,78,285,4009
10-Jan,Tennessee,2873,,12900,9816,0,467,0,26056
10-Jan,Texas,7487,,27645,26553,746,1527,9829,73787
10-Jan,Utah,36906,,2356,2824,0,114,0,42200
10-Jan,Vermont,0,,647,801,25,22,0,1495
10-Jan,Virgin Islands,62,,21,2,0,0,0,85
10-Jan,Virginia,0,,11513,10323,0,309,0,22145
10-Jan,Washington,6640,,9348,8287,471,386,2052,27184
10-Jan,West Virginia,26,,3735,4860,61,342,2669,11693
10-Jan,Wisconsin,0,,4382,7950,153,7,242,12734
10-Jan,Wyoming,379,,1036,1413,26,47,365,3266
09-Dec,Alabama,491,,13285,23760,176,574,3910,42196
09-Dec,Alaska,0,,2178,3397,107,102,231,6015
09-Dec,Arizona,2143,,7360,8454,207,311,1228,19703
09-Dec,Arkansas,2646,,5310,12090,45,273,2670,23034
09-Dec,California,22518,,19496,27200,0,0,22,69236
09-Dec,Colorado,0,,11307,14781,0,3113,0,29201
09-Dec,Connecticut,6791,,4091,4246,21,0,5,15154
09-Dec,Delaware,0,,871,1329,21,40,0,2261
09-Dec,District of Columbia,0,,19,0,0,0,0,19
09-Dec,Florida,0,,29581,24460,0,1407,2001,57449
09-Dec,Georgia,7742,,10771,17354,90,456,2939,39352
09-Dec,Guam,0,,25,33,3,1,0,62
09-Dec,Hawaii,992,,0,0,0,0,0,992
09-Dec,Idaho,1404,,2153,5188,51,95,842,9733
09-Dec,Illinois,44976,,9316,13652,0,455,0,68399
09-Dec,Indiana,6771,,9904,14739,218,399,417,32448
09-Dec,Iowa,8021,,42,5570,6,1,115,13755
09-Dec,Kansas,0,,5473,9638,134,303,779,16327
09-Dec,Kentucky,179234,,9768,16164,134,568,3598,209466
09-Dec,Louisiana,0,,9719,20417,132,379,1994,32641
09-Dec,Maine,0,,1949,3627,38,97,176,5887
09-Dec,Mariana Islands,0,,0,0,0,0,0,0
09-Dec,Maryland,1,,3095,5433,11,7,138,8685
09-Dec,Massachusetts,3731,,2476,2014,79,77,1,8378
09-Dec,Michigan,15096,,1867,14945,146,48,334,32436
09-Dec,Minnesota,5968,,4912,10262,131,148,462,21883
09-Dec,Mississippi,239,,5272,16234,94,318,2857,25014
09-Dec,Missouri,927,,14525,19444,274,639,1657,37466
09-Dec,Montana,464,,2083,5309,62,150,1190,9258
09-Dec,Nebraska,2224,,21,3960,4,1,106,6316
09-Dec,Nevada,1050,,4493,4516,0,293,385,10737
09-Dec,New Hampshire,1507,,2421,2572,0,11,4,6515
09-Dec,New Jersey,0,,2139,2754,0,100,0,4993
09-Dec,New Mexico,419,,3806,5524,90,193,929,10961
09-Dec,New York,3063,,4652,15879,206,62,10,23872
09-Dec,North Carolina,12785,,239,21565,208,133,3830,38760
09-Dec,North Dakota,286,,852,2860,8,42,135,4183
09-Dec,Ohio,0,,17880,20595,320,600,1871,41266
09-Dec,Oklahoma,0,,9249,13253,176,585,2940,26203
09-Dec,Oregon,53,,6912,11402,0,453,0,18820
09-Dec,Pennsylvania,134,,0,56138,0,89,0,56361
09-Dec,Puerto Rico,0,,600,106,4,16,0,726
09-Dec,Rhode Island,0,,645,636,17,74,0,1372
09-Dec,South Carolina,3429,,7431,9987,64,188,1398,22497
